batch,state,step,energy_ewm
250,ground,315,-154.39776193755284
250,ground,316,-154.39693599822021
250,ground,317,-154.397881138672
250,ground,318,-154.40104596577999
250,ground,319,-154.40308319487872
250,ground,320,-154.40155755820146
250,ground,321,-154.40148037999174
250,ground,322,-154.4010505380375
250,ground,323,-154.40185162532595
250,ground,324,-154.403585206462
250,ground,325,-154.40336611674797
250,ground,326,-154.40282147419384
250,ground,327,-154.40156809521514
250,ground,328,-154.40275320910533
250,ground,329,-154.40426560680066
250,ground,330,-154.40378737420122
250,ground,331,-154.40229557353732
250,ground,332,-154.40396760619385
250,ground,333,-154.4039847146077
250,ground,334,-154.40616812565892
250,ground,335,-154.40471160577903
250,ground,336,-154.4038984409946
250,ground,337,-154.40533973909567
250,ground,338,-154.40631223323538
250,ground,339,-154.40791756048355
250,ground,340,-154.40661069384032
250,ground,341,-154.40646375363266
250,ground,342,-154.40653498580852
250,ground,343,-154.40799920876964
250,ground,344,-154.4095730287178
250,ground,345,-154.41089248421312
250,ground,346,-154.4106093003303
250,ground,347,-154.4110867336596
250,ground,348,-154.4124948627392
250,ground,349,-154.41333998324953
250,ground,350,-154.41456536746492
250,ground,351,-154.41356184259325
250,ground,352,-154.41295510518316
250,ground,353,-154.41463667046605
250,ground,354,-154.4169391038938
250,ground,355,-154.4157242922431
250,ground,356,-154.41562449845736
250,ground,357,-154.4167928412173
250,ground,358,-154.41749283386966
250,ground,359,-154.41726422968713
250,ground,360,-154.41593839006956
250,ground,361,-154.4146159863819
250,ground,362,-154.41479722513213
250,ground,363,-154.41575771174237
250,ground,364,-154.41698751554424
250,ground,365,-154.416880230872
250,ground,366,-154.41710608355748
250,ground,367,-154.41826115248304
250,ground,368,-154.41848485777905
250,ground,369,-154.41974956284298
250,ground,370,-154.41878680862746
250,ground,371,-154.41929194389675
250,ground,372,-154.41931930195761
250,ground,373,-154.41964951699507
250,ground,374,-154.41975750943035
250,ground,375,-154.41949782873772
250,ground,376,-154.4190515439507
250,ground,377,-154.41910959576987
250,ground,378,-154.41895172999892
250,ground,379,-154.42007207672708
250,ground,380,-154.41927486465264
250,ground,381,-154.4191958699664
250,ground,382,-154.41852994128837
250,ground,383,-154.4182676346652
250,ground,384,-154.42028806916548
250,ground,385,-154.42104460410894
250,ground,386,-154.42079333049807
250,ground,387,-154.42076779481803
250,ground,388,-154.42176655803289
250,ground,389,-154.42197850479647
250,ground,390,-154.4213838648405
250,ground,391,-154.4205389463491
250,ground,392,-154.42039323217705
250,ground,393,-154.42074204482012
250,ground,394,-154.422910801333
250,ground,395,-154.42279686330198
250,ground,396,-154.42334177254688
250,ground,397,-154.42355798395067
250,ground,398,-154.4236973222346
250,ground,399,-154.42437015554847
250,ground,400,-154.4231837765194
250,ground,401,-154.42331288835425
250,ground,402,-154.42363750518825
250,ground,403,-154.42306917570318
250,ground,404,-154.42479181327596
250,ground,405,-154.42427870282572
250,ground,406,-154.42516825116112
250,ground,407,-154.4247691546715
250,ground,408,-154.42465732652863
250,ground,409,-154.42457184083412
250,ground,410,-154.42659638400693
250,ground,411,-154.4264567463949
250,ground,412,-154.42754913817484
250,ground,413,-154.4274177433258
250,ground,414,-154.429011742098
250,ground,415,-154.42875367088956
250,ground,416,-154.42814128928677
250,ground,417,-154.42764593119384
250,ground,418,-154.42847046189664
250,ground,419,-154.42910679851968
250,ground,420,-154.42832480529606
250,ground,421,-154.42746439835906
250,ground,422,-154.42797314889108
250,ground,423,-154.42839004508747
250,ground,424,-154.43019499143878
250,ground,425,-154.4300855194138
250,ground,426,-154.43050664673302
